20.01	20.57
16.34	24.87
23.68	20.64
22.49	21.80
20.51	23.39
19.85	17.14
24.68	25.77
21.83	19.82
19.99	22.27
20.43	18.75
24.87	27.17
21.56	24.05
20.85	18.55
21.80	25.91
19.69	19.08
16.88	20.65
21.16	21.07
14.87	17.42
17.80	24.46
23.35	17.46
17.80	14.75
20.85	22.65
19.32	13.73
20.88	22.69
21.34	24.25
18.42	15.14
13.28	16.55
23.23	19.97
18.24	21.67
20.90	18.72
23.07	23.73
16.58	16.20
23.97	24.94
22.34	22.19
20.39	16.95
18.87	16.28
23.81	22.06
21.41	15.29
21.68	23.35
28.52	28.30
21.75	22.69
23.72	18.72
19.84	20.58
25.70	28.98
19.70	23.29
16.85	19.92
19.95	22.37
14.57	20.97
23.98	22.51
16.26	17.84
20.89	19.71
22.89	21.89
21.53	20.13
21.18	18.50
17.27	16.09
19.83	21.58
22.94	19.92
17.59	16.22
16.09	14.29
17.79	15.13
22.70	23.23
19.13	18.57
20.70	22.05
14.48	20.57
17.56	18.05
17.79	20.88
16.00	25.93
23.71	20.94
23.29	22.87
15.04	16.69
20.79	23.45
16.95	17.38
19.48	18.60
20.14	21.89
25.41	22.64
21.17	18.71
17.92	13.03
22.63	17.46
22.77	19.90
20.44	22.38
27.09	25.46
19.47	21.23
18.55	22.09
21.73	20.32
15.88	18.99
18.70	19.18
18.29	20.38
24.32	21.65
22.24	23.95
21.92	16.68
22.91	27.92
22.84	20.68
20.10	16.68
15.52	14.63
14.68	17.23
20.12	23.62
25.26	20.05
22.63	22.46
23.31	19.40
25.67	25.45
18.47	17.72
18.00	16.81
23.48	27.70
17.73	19.63
26.96	27.06
22.82	24.03
17.99	19.57
18.82	23.12
21.65	20.51
22.25	22.62
23.69	17.59
21.08	17.19
16.79	20.49
20.29	19.18
15.14	16.45
21.82	21.96
21.81	13.70
20.46	19.25
17.07	15.58
24.03	23.31
23.12	21.65
17.75	14.68
15.78	17.62
23.18	20.97
21.92	22.40
20.11	18.34
20.81	16.71
22.20	20.90
18.64	20.69
24.91	23.45
21.10	22.36
17.58	16.22
18.44	16.89
24.76	20.55
17.94	20.66
16.65	19.10
23.65	22.79
21.01	23.29
26.97	25.34
19.15	19.10
22.02	21.45
19.94	26.07
21.37	24.63
14.97	16.26
20.79	15.29
22.41	20.13
19.98	20.36
18.86	13.96
20.08	23.61
13.39	20.58
23.93	21.93
21.08	19.47
21.74	22.93
22.07	23.04
20.91	20.10
24.49	20.72
16.46	18.94
19.76	24.98
23.43	17.73
19.95	24.68
22.03	15.99
14.88	15.15
21.10	22.12
23.43	24.75
12.92	14.09
19.25	19.12
16.04	15.78
16.74	14.15
21.87	24.06
23.45	20.41
19.34	19.75
18.36	24.97
25.70	23.79
19.73	19.79
21.20	22.57
18.90	20.11
21.60	17.50
16.14	20.08
20.07	20.06
17.20	18.36
19.39	21.78
22.18	21.63
26.20	21.60
18.57	15.98
21.69	22.63
18.55	21.43
20.28	20.70
28.80	24.65
20.57	20.04
18.11	18.73
23.17	21.01
22.92	25.39
15.19	20.77
17.98	17.97
18.58	21.32
19.20	18.01
20.33	18.20
18.23	18.78
21.37	21.25
21.49	19.20
17.34	14.73
21.19	22.79
16.45	17.00
22.61	21.37
19.32	21.26
22.28	21.37
16.86	18.49
22.47	22.22
19.13	21.07
19.77	18.31
19.14	20.53
22.12	22.72
25.70	23.82
22.83	17.25
20.09	23.19
17.64	15.97
20.27	25.46
16.85	16.61
19.72	19.26
22.98	24.47
19.72	16.14
23.77	23.16
18.42	21.23
21.38	22.17
21.04	18.53
15.57	19.03
18.35	16.49
23.18	22.41
16.40	16.69
19.52	20.28
16.92	16.23
16.90	19.58
17.09	17.20
22.60	18.97
20.02	13.97
21.18	21.88
18.24	23.88
19.61	18.28
22.65	25.26
15.93	17.46
17.60	16.58
23.23	21.84
25.36	21.56
17.27	20.54
21.39	18.34
16.06	18.38
22.08	21.83
20.42	20.56
16.79	19.18
21.61	19.64
24.00	17.95
19.50	20.68
17.16	15.99
16.46	21.28
16.07	17.19
21.26	22.99
21.07	25.26
17.52	17.83
22.38	19.54
16.63	21.36
24.70	23.22
13.27	16.74
19.13	19.96
22.38	19.17
20.04	22.89
20.16	18.82
18.39	22.24
26.21	21.78
18.54	23.26
22.21	21.92
23.83	13.42
18.93	18.96
24.58	25.74
21.40	19.83
15.30	15.87
18.51	20.48
19.54	23.78
22.02	23.04
22.25	21.44
22.20	22.51
15.42	19.13
15.18	17.09
24.25	23.22
22.60	21.27
21.30	22.57
24.89	24.15
25.84	19.01
17.56	17.28
20.13	16.70
21.36	20.94
20.38	13.95
20.64	20.00
20.61	23.20
23.44	22.91
11.31	19.52
19.98	19.95
19.21	18.13
18.52	14.23
20.46	27.45
21.69	21.64
19.10	22.47
20.06	21.49
14.78	16.33
16.48	17.36
18.82	12.50
19.46	16.97
16.63	17.15
16.27	16.32
21.94	22.96
20.43	21.46
24.35	20.79
21.73	17.62
16.31	20.30
12.98	16.27
20.44	21.14
19.28	20.59
21.75	20.55
22.89	23.41
19.37	20.31
20.47	20.36
17.72	15.94
23.80	22.01
20.16	22.59
18.32	18.04
18.55	20.38
25.75	24.61
21.61	29.92
21.33	18.70
21.07	19.97
21.44	19.54
21.49	16.55
20.02	20.51
25.41	23.60
19.24	18.63
17.33	18.54
18.69	19.07
23.74	21.04
22.47	18.90
23.71	19.88
